max_depth,max_depth_label,n_estimators,model_size_mb,mean_tree_depth,mean_leaves_per_tree,fit_seconds,val_macro_f1,val_accuracy,val_roc_auc,val_avg_precision,val_fpr,val_fnr,val_false_positives,val_single_flow_latency_ms_p50,val_single_flow_latency_ms_p99,val_batch_throughput_flows_per_s,test_macro_f1,test_accuracy,test_roc_auc,test_avg_precision,test_fpr,test_fnr,test_false_positives,test_single_flow_latency_ms_p50,test_single_flow_latency_ms_p99,test_batch_throughput_flows_per_s
16,16,100,0.712,12.24,44.56,84.2,1.0,1.0,1.0,1.0,0.0,0.0,0,12.858749998486019,28.258710999871248,517244.8,0.9790212264204916,0.9976040600089674,0.9995838541939469,0.999987872735938,0.001084384858044164,0.0024340685532290096,33,12.927949999721022,28.25559699806034,421980.0
16,16,200,1.437,12.535,45.03,173.9,1.0,1.0,1.0,1.0,0.0,0.0,0,25.17970000008063,41.758981999664684,340684.5,0.9790303170770681,0.9976049883080728,0.99960648207428,0.9999886298510728,0.001018664563617245,0.0024350238391604184,31,25.282999999035383,41.05287800059159,238678.2
20,20,25,0.181,12.24,45.16,26.6,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5531999983504647,6.990069998646504,1553833.3,0.9798019015251739,0.9976968899195072,0.999494943620963,0.9999836239299689,0.001150105152471083,0.0023366293882253367,35,3.622150001319824,7.638544999572331,1637403.4
20,20,50,0.369,13.1,46.14,46.0,1.0,1.0,1.0,1.0,0.0,0.0,0,6.599899999855552,15.746985000514542,715231.6,0.9784889163641346,0.9975409356698003,0.9996285261007527,0.9999882888976181,0.0011829652996845426,0.002496162138770566,36,6.733099997290992,15.564707999801612,892352.3
20,20,100,0.727,12.66,45.58,93.2,1.0,1.0,1.0,1.0,0.0,0.0,0,8.027050000237068,30.53045400076371,810496.4,0.9790134193553459,0.9976031317098619,0.9995789107336496,0.999987309373661,0.001084384858044164,0.0024350238391604184,33,14.206249999915599,37.11519999927987,472955.3
20,20,200,1.466,12.985,45.99,176.2,1.0,1.0,1.0,1.0,0.0,0.0,0,28.780799999367446,210.51508000011373,195516.0,0.9790303170770681,0.9976049883080728,0.9996124190231565,0.9999886293848522,0.001018664563617245,0.0024350238391604184,31,35.08064999914495,87.90704699764318,122821.6
24,24,25,0.182,12.28,45.28,34.1,1.0,1.0,1.0,1.0,0.0,0.0,0,5.4584000008617295,18.872075997860513,1013757.9,0.9799194018892128,0.9977108144060881,0.9994987987766597,0.9999837029019152,0.001150105152471083,0.0023223000992542084,35,5.307299998094095,14.28430299867614,1096325.0
24,24,50,0.368,13.26,46.08,63.0,1.0,1.0,1.0,1.0,0.0,0.0,0,8.415350001087063,23.786225999538146,862719.8,0.9784967081524534,0.9975418639689057,0.9996128359719401,0.9999878016169395,0.0011829652996845426,0.0024952068528391576,36,8.31454999934067,23.16589500005648,739395.9
24,24,100,0.727,12.74,45.55,116.6,1.0,1.0,1.0,1.0,0.0,0.0,0,15.5247499988036,43.26120699955936,646393.0,0.9790193004017498,0.9976040600089674,0.9995699498427273,0.9999870328010939,0.0011829652996845426,0.002431202695434784,36,16.42559999891091,43.17470300171407,402656.3
24,24,200,1.465,13.075,45.97,157.2,1.0,1.0,1.0,1.0,0.0,0.0,0,30.352249999850756,55.31275599838409,276146.6,0.9790615468502277,0.9976087015044943,0.9995923772611794,0.9999879598034999,0.001018664563617245,0.002431202695434784,31,31.867699999565957,52.274292002475704,251269.4
-1,unbounded,25,0.181,12.28,45.28,20.9,1.0,1.0,1.0,1.0,0.0,0.0,0,4.2376000001240755,9.508419000703725,807873.7,0.9799194018892128,0.9977108144060881,0.9994987987766597,0.9999837029019152,0.001150105152471083,0.0023223000992542084,35,4.313850000471575,13.494060998673373,1200095.9
-1,unbounded,50,0.367,13.26,46.08,33.9,1.0,1.0,1.0,1.0,0.0,0.0,0,8.012550000785268,18.51378899817063,857021.2,0.9784967081524534,0.9975418639689057,0.9996128359719401,0.9999878016169395,0.0011829652996845426,0.0024952068528391576,36,7.893800000601914,18.210435999935722,792351.9
-1,unbounded,100,0.725,12.74,45.55,62.4,1.0,1.0,1.0,1.0,0.0,0.0,0,3.213099997083191,4.207256998161029,901096.2,0.9790193004017498,0.9976040600089674,0.9995699498427273,0.9999870328010939,0.0011829652996845426,0.002431202695434784,36,3.1996999987313757,3.9443699978073705,1038884.1
-1,unbounded,200,1.463,13.08,45.99,55.3,1.0,1.0,1.0,1.0,0.0,0.0,0,6.333350000204518,7.753265998799179,594067.3,0.9790615468502277,0.9976087015044943,0.9995925623101597,0.9999879650296783,0.001018664563617245,0.002431202695434784,31,6.3406499994016485,7.79227100108983,550482.9
