shift,target,feature_set,seed,fit_seconds,macro_f1,accuracy,roc_auc,avg_precision,fpr,fnr,n_test,macro_f1_lo95,macro_f1_hi95,transfer_dimension
cross_vector,LDAP_0311,full,123,,0.9631689943639155,0.9997575,0.999960108970559,0.9999999295295735,0.09347181008902077,8.514346674145936e-05,400000,0.9554316510047076,0.9709701957590774,
cross_vector,LDAP_0311,full,456,,0.9681773677143689,0.99979,0.9999781921112743,0.999999962405259,0.08160237388724036,7.262236869124475e-05,400000,0.9619275651331872,0.975209712241716,
cross_vector,LDAP_0311,cic_only,42,,0.9659689904039988,0.99977,0.9992719315875143,0.9999987514266241,0.06379821958456973,0.0001227067608921032,400000,0.9593401159893623,0.9732219023957573,
cross_vector,LDAP_0311,cic_only,123,,0.9694427113741562,0.999795,0.9999432370695959,0.9999999013040661,0.06379821958456973,9.766456479167397e-05,400000,0.9626780750087491,0.975746434169298,
cross_vector,LDAP_0311,cic_only,456,,0.9593719834735974,0.9997325,0.9999042247462939,0.999999835753595,0.10089020771513353,9.766456479167397e-05,400000,0.9524333897942938,0.9661220405079541,
cross_vector,LDAP_0311,entropy_only,42,,0.499578394797617,0.998315,0.6824011998793634,0.9992192217804208,1.0,0.0,400000,0.4995479823524288,0.49960939822349937,
cross_vector,LDAP_0311,entropy_only,123,,0.499578394797617,0.998315,0.7334271767958683,0.9993279429045283,1.0,0.0,400000,0.4995479823524288,0.49960939822349937,
cross_vector,LDAP_0311,entropy_only,456,,0.499578394797617,0.998315,0.7604456405928262,0.9994515602731805,1.0,0.0,400000,0.4995479823524288,0.49960939822349937,
cross_vector,NetBIOS_0311,full,42,,0.7771683622870493,0.998785,0.999977965982499,0.9999999827034016,0.0,0.0012159210602031038,400000,0.758711565805353,0.7940515650112335,
cross_vector,NetBIOS_0311,full,123,,0.8437921153773784,0.999315,0.9999810293591125,0.9999999852069316,0.0033003300330033004,0.0006830173856696447,400000,0.8278358347295856,0.8618465195739798,
cross_vector,NetBIOS_0311,full,456,,0.8882788669265287,0.9995675,0.9999136763590168,0.9999999304858613,0.006600660066006601,0.00042782407673812913,400000,0.8695860699678025,0.9045751560465527,
cross_vector,NetBIOS_0311,cic_only,42,,0.5123596108263787,0.96563,0.9999626821277514,0.9999999706034282,0.0,0.03439605501167134,400000,0.510564938686897,0.5147026609816724,
cross_vector,NetBIOS_0311,cic_only,123,,0.7171803075282025,0.998035,0.9999778627690014,0.99999998248199,0.0,0.0019664896158840322,400000,0.7013946763745116,0.7332813577281876,
cross_vector,NetBIOS_0311,cic_only,456,,0.698242046961586,0.9977125,0.999951749754069,0.9999999591625266,0.0033003300330033004,0.002286732199641228,400000,0.6826726806304525,0.7138114290953826,
cross_vector,NetBIOS_0311,entropy_only,42,,0.4998105532470423,0.9992425,0.8499991259881009,0.9998415277928465,1.0,0.0,400000,0.499787081244606,0.49982839424794406,
