feature_set,feature,family,min,max,mean,std,n_unique,is_constant,mutual_info,single_feature_auc
original,Subflow_Bwd_Bytes,cicflowmeter,0.0,12892434.0,75.93939971923828,12329.5849609375,3207,False,0.023462540292959688,0.6883986031562914
original,Init_Win_bytes_forward,cicflowmeter,-1.0,65535.0,5835.1318359375,1133.1112060546875,1299,False,0.09848442386684775,0.6873401572208849
original,Init_Win_bytes_backward,cicflowmeter,-1.0,65535.0,24.467491149902344,961.10791015625,1019,False,0.018495481370882416,0.5880559647702938
original,act_data_pkt_fwd,cicflowmeter,0.0,3888.0,1.9336516857147217,4.129005432128906,203,False,0.027102057255809497,0.5303784075265389
original,min_seg_size_forward,cicflowmeter,0.0,44.0,20.04695701599121,0.8364893198013306,7,False,0.058248475109101805,0.6734352569259878
original,Active_Mean,cicflowmeter,0.0,40789148.0,14166.9208984375,147762.390625,70156,False,0.0038120363960759684,0.5376958524764002
original,Active_Std,cicflowmeter,0.0,14508515.0,22603.748046875,204058.8125,105028,False,0.0025060110251461376,0.5203468075878007
original,Active_Max,cicflowmeter,0.0,40789148.0,45085.06640625,398052.25,67292,False,0.004017720298991279,0.5374112673488458
original,Active_Min,cicflowmeter,0.0,40789148.0,1543.9366455078125,83402.2421875,5297,False,0.0066450242567974716,0.5403628438726
original,Idle_Mean,cicflowmeter,0.0,117569200.0,1652631.5,4958605.5,393857,False,0.0050419897240919775,0.5304410825087752
original,Idle_Std,cicflowmeter,0.0,69614024.0,520922.40625,1853063.75,380719,False,0.003551473173966646,0.5071308435056647
original,Idle_Max,cicflowmeter,0.0,117569200.0,2226987.25,6648171.5,388657,False,0.006284077388460152,0.5301548029578036
original,Idle_Min,cicflowmeter,0.0,117569200.0,1158445.125,3742107.25,386135,False,0.003871752475873236,0.5339771232398163
original,Protocol,cicflowmeter,0.0,17.0,6.035767555236816,0.6418433785438538,3,False,0.06776909825946653,0.6381035702676636
original,Source_Port,cicflowmeter,0.0,65534.0,36951.81640625,18784.904296875,61008,False,0.01660909740342409,0.610296027897032
original,H_src_ip,entropy,0.0,4.199130535125732,0.03393888846039772,0.31133994460105896,27751,False,0.04471767847250652,0.9980964637133849
original,H_dst_ip,entropy,0.0,5.839285373687744,0.049384281039237976,0.46335697174072266,32547,False,0.04480552191312093,0.9983006203651041
original,H_dst_port,entropy,0.0,9.947784423828125,9.830503463745117,0.5510887503623962,28681,False,0.044512474351663944,0.9887991220185897
original,H_proto,entropy,0.0,1.1396123170852661,0.011826956644654274,0.09835154563188553,5420,False,0.0442241251361869,0.9907712402973747
original,H_pkt_len,entropy,0.0,4.446780681610107,0.03978359326720238,0.36059969663619995,29719,False,0.04428832265946536,0.9951885362842259
original,H_iat,entropy,0.0,6.1717987060546875,1.3791083097457886,1.6281968355178833,44992,False,0.02962128155453192,0.9512372516072136
original,H_tcp_flags,entropy,0.0,0.13005883991718292,0.0021335380151867867,0.008864108473062515,196,False,0.02352836835386074,0.9452900818534684
original,H_ttl,entropy,0.0,1.7763568394002505e-15,3.6607614716267295e-20,7.223225658943756e-18,4,False,0.0003958147079242691,0.5000211829785689
repaired,Destination_Port,cicflowmeter,0.0,65535.0,32609.51171875,19054.083984375,65524,False,0.03931110662896142,0.8347333214655512
repaired,Flow_Duration,cicflowmeter,1.0,119992888.0,5851066.0,17111222.0,431122,False,0.031150979732057715,0.7815143776563127
repaired,Total_Fwd_Packets,cicflowmeter,1.0,15614.0,2.9771928787231445,11.685327529907227,249,False,0.041460757951943816,0.5408550438091888
repaired,Total_Backward_Packets,cicflowmeter,0.0,8029.0,1.2299801111221313,7.933715343475342,336,False,0.011533889605921499,0.6719404520665402
repaired,Total_Length_of_Fwd_Packets,cicflowmeter,0.0,208524.0,26.11788558959961,386.33502197265625,2744,False,0.04215969444919354,0.6857029800775094
repaired,Total_Length_of_Bwd_Packets,cicflowmeter,0.0,12892434.0,75.93939971923828,12329.5849609375,3207,False,0.023467162125974328,0.6988798186100829
repaired,Fwd_Packet_Length_Max,cicflowmeter,0.0,3625.0,7.870426654815674,45.136714935302734,1283,False,0.04279167472008849,0.7453726912261258
repaired,Fwd_Packet_Length_Min,cicflowmeter,0.0,2033.0,6.416391372680664,13.277728080749512,106,False,0.046239511390907984,0.5412657437146294
repaired,Fwd_Packet_Length_Mean,cicflowmeter,0.0,2033.0,6.670101165771484,15.397396087646484,3658,False,0.05100704462317507,0.7393111599187332
repaired,Fwd_Packet_Length_Std,cicflowmeter,0.0,1386.6363525390625,0.4454229772090912,12.977679252624512,3896,False,0.013946645937197744,0.6757072858473461
