capacity,aggregation,eviction,t,occupancy
1024,exact,idle,3.6,1024
1024,exact,idle,3.6666666666666665,1024
1024,exact,idle,3.7333333333333334,1024
1024,exact,idle,3.8,1024
1024,exact,idle,3.8666666666666667,1024
1024,exact,idle,3.933333333333333,1024
1024,exact,idle,4.0,1024
1024,exact,idle,4.066666666666666,1024
1024,exact,idle,4.133333333333334,1024
1024,exact,idle,4.2,1024
1024,exact,idle,4.266666666666667,1024
1024,exact,idle,4.333333333333333,1024
1024,exact,idle,4.4,1024
1024,exact,idle,4.466666666666667,1024
1024,exact,idle,4.533333333333333,1024
1024,exact,idle,4.6,1024
1024,exact,idle,4.666666666666667,1024
1024,exact,idle,4.733333333333333,1024
1024,exact,idle,4.8,1024
1024,exact,idle,4.866666666666666,1024
1024,exact,idle,4.933333333333334,1024
1024,exact,idle,5.0,1024
1024,exact,idle,5.066666666666666,1024
1024,exact,idle,5.133333333333334,1024
1024,exact,idle,5.2,1024
1024,exact,idle,5.266666666666667,1024
1024,exact,idle,5.333333333333333,1024
1024,exact,idle,5.4,1024
1024,exact,idle,5.466666666666667,1024
1024,exact,idle,5.533333333333333,1024
1024,exact,idle,5.6,1024
1024,exact,idle,5.666666666666667,1024
1024,exact,idle,5.733333333333333,1024
1024,exact,idle,5.8,1024
1024,exact,idle,5.866666666666666,1024
1024,exact,idle,5.933333333333334,1024
1024,exact,idle,6.0,1024
1024,exact,idle,6.066666666666666,1024
1024,exact,idle,6.133333333333334,1024
1024,exact,idle,6.2,1024
1024,exact,idle,6.266666666666667,1024
1024,exact,idle,6.333333333333333,1024
1024,exact,idle,6.4,1024
1024,exact,idle,6.466666666666667,1024
1024,exact,idle,6.533333333333333,1024
1024,exact,idle,6.6,1024
1024,exact,idle,6.666666666666667,1024
1024,exact,idle,6.733333333333333,1024
1024,exact,idle,6.8,1024
1024,exact,idle,6.866666666666666,1024
1024,exact,idle,6.933333333333334,1024
1024,exact,idle,7.0,1024
1024,exact,idle,7.066666666666666,1024
1024,exact,idle,7.133333333333334,1024
1024,exact,idle,7.2,1024
1024,exact,idle,7.266666666666667,1024
1024,exact,idle,7.333333333333333,1024
1024,exact,idle,7.4,1024
1024,exact,idle,7.466666666666667,1024
1024,exact,idle,7.533333333333333,1024
1024,exact,idle,7.6,1024
1024,exact,idle,7.666666666666667,1024
1024,exact,idle,7.733333333333333,1024
1024,exact,idle,7.8,1024
1024,exact,idle,7.866666666666666,1024
1024,exact,idle,7.933333333333334,1024
1024,exact,idle,8.0,1024
1024,exact,idle,8.066666666666666,1024
1024,exact,idle,8.133333333333333,1024
1024,exact,idle,8.2,1024
1024,exact,idle,8.266666666666667,1024
1024,exact,idle,8.333333333333334,1024
1024,exact,idle,8.4,1024
1024,exact,idle,8.466666666666667,1024
1024,exact,idle,8.533333333333333,1024
1024,exact,idle,8.6,1024
1024,exact,idle,8.666666666666666,1024
