key,curve,x,y
E1/A/LightGBM,roc,0.014819926393270242,0.9978706656247671
E1/A/LightGBM,roc,0.015181388012618296,0.9978716209116111
E1/A/LightGBM,roc,0.015575709779179811,0.997877352632675
E1/A/LightGBM,roc,0.016068611987381704,0.9978811737800509
E1/A/LightGBM,roc,0.016692954784437435,0.9978811737800509
E1/A/LightGBM,roc,0.018796004206098844,0.9978811737800509
E1/A/LightGBM,roc,0.019190325972660356,0.9978811737800509
E1/A/LightGBM,roc,0.019978969505783387,0.9978926372221787
E1/A/LightGBM,roc,0.02024185068349106,0.9979050559511504
E1/A/LightGBM,roc,0.022180599369085174,0.9979050559511504
E1/A/LightGBM,roc,0.024185068349106203,0.9979050559511504
E1/A/LightGBM,roc,0.03407597266035752,0.9979050559511504
E1/A/LightGBM,roc,0.0353903785488959,0.9979069665248385
E1/A/LightGBM,roc,0.03578470031545741,0.9979079218116824
E1/A/LightGBM,roc,0.03604758149316509,0.9979098323853703
E1/A/LightGBM,roc,0.03739484752891693,0.9979098323853703
E1/A/LightGBM,roc,0.037723449001051526,0.9979184299669662
E1/A/LightGBM,roc,0.037756309148264985,0.997974791890761
E1/A/LightGBM,roc,0.037789169295478445,0.9979977187750165
E1/A/LightGBM,roc,0.03785488958990536,0.9980349749619318
E1/A/LightGBM,roc,0.03811777076761304,0.9980407066829957
E1/A/LightGBM,roc,0.0381506309148265,0.9980493042645915
E1/A/LightGBM,roc,0.038314931650893794,0.9980645888540952
E1/A/LightGBM,roc,0.03834779179810725,0.9980875157383508
E1/A/LightGBM,roc,0.03844637223974763,0.9981142637699822
E1/A/LightGBM,roc,0.03890641430073607,0.9981161743436702
E1/A/LightGBM,roc,0.039892218717139855,0.9981199954910461
E1/A/LightGBM,roc,0.04008937960042061,0.998123816638422
E1/A/LightGBM,roc,0.040319400630914826,0.9981285930726419
E1/A/LightGBM,roc,0.04054942166140904,0.9981295483594859
E1/A/LightGBM,roc,0.0409108832807571,0.9981343247937058
E1/A/LightGBM,roc,0.04104232386961094,0.998176357414841
E1/A/LightGBM,roc,0.041206624605678234,0.9981811338490608
E1/A/LightGBM,roc,0.04153522607781283,0.9981887761438127
E1/A/LightGBM,roc,0.04222528916929548,0.9981906867175007
E1/A/LightGBM,roc,0.04255389064143007,0.9982050160201603
E1/A/LightGBM,roc,0.04432833859095689,0.9982050160201603
E1/A/LightGBM,roc,0.044985541535226076,0.9982088371675363
E1/A/LightGBM,roc,0.044985541535226076,0.9982288981912599
E1/A/LightGBM,roc,0.04524842271293376,0.9982394063465436
E1/A/LightGBM,roc,0.04554416403785489,0.9982451380676075
E1/A/LightGBM,roc,0.045839905362776025,0.9982499145018274
E1/A/LightGBM,roc,0.0461027865404837,0.9982546909360474
E1/A/LightGBM,roc,0.04613564668769716,0.9984400165837796
E1/A/LightGBM,roc,0.04616850683491062,0.9985135736707661
E1/A/LightGBM,roc,0.04639852786540484,0.99851930539183
E1/A/LightGBM,roc,0.0464313880126183,0.9985326794076458
E1/A/LightGBM,roc,0.0464313880126183,0.9985584721524332
E1/A/LightGBM,roc,0.0464313880126183,0.9985766226024688
E1/A/LightGBM,roc,0.047088590956887486,0.9985966836261925
E1/A/LightGBM,roc,0.047088590956887486,0.9986243869446679
E1/A/LightGBM,roc,0.047088590956887486,0.9986769277210868
E1/A/LightGBM,roc,0.04728575184016824,0.9986845700158387
E1/A/LightGBM,roc,0.04735147213459516,0.9986998546053424
E1/A/LightGBM,roc,0.04889589905362776,0.9987017651790303
E1/A/LightGBM,roc,0.049191640378548895,0.9987113180474702
E1/A/LightGBM,roc,0.04932308096740273,0.998718960342222
E1/A/LightGBM,roc,0.04932308096740273,0.9987323343580377
E1/A/LightGBM,roc,0.04942166140904311,0.9987390213659455
E1/A/LightGBM,roc,0.04955310199789695,0.9987428425133215
E1/A/LightGBM,roc,0.050046004206098844,0.9987523953817613
E1/A/LightGBM,roc,0.0502431650893796,0.9987552612422932
E1/A/LightGBM,roc,0.05103180862250263,0.9987581271028252
E1/A/LightGBM,roc,0.051360410094637224,0.9988240418950598
E1/A/LightGBM,roc,0.052181913774973714,0.9988240418950598
E1/A/LightGBM,roc,0.05297055730809674,0.9988240418950598
E1/A/LightGBM,roc,0.05435068349106204,0.9988240418950598
E1/A/LightGBM,roc,0.058031019978969506,0.9988240418950598
E1/A/LightGBM,roc,0.05822818086225026,0.9988469687793153
E1/A/LightGBM,roc,0.058589642481598314,0.9988498346398473
E1/A/LightGBM,roc,0.05914826498422713,0.9988507899266913
E1/A/LightGBM,roc,0.05950972660357518,0.9988527005003792
E1/A/LightGBM,roc,0.05967402733964248,0.9988574769345991
E1/A/LightGBM,roc,0.06049553101997897,0.9988584322214431
E1/A/LightGBM,roc,0.06072555205047318,0.9988708509504148
E1/A/LightGBM,roc,0.06118559411146162,0.9988784932451668
E1/A/LightGBM,roc,0.06180993690851735,0.9988813591056986
E1/A/LightGBM,roc,0.0632229232386961,0.9988861355399186
E1/A/LightGBM,roc,0.06585173501577288,0.9988880461136065
E1/A/LightGBM,roc,0.06821766561514196,0.9988880461136065
E1/A/LightGBM,roc,0.07222660357518401,0.9988890014004506
E1/A/LightGBM,roc,0.07248948475289169,0.9988918672609824
E1/A/LightGBM,roc,0.07317954784437435,0.9988947331215144
E1/A/LightGBM,roc,0.07360672975814932,0.9988947331215144
E1/A/LightGBM,roc,0.07396819137749737,0.9988956884083584
E1/A/LightGBM,roc,0.07446109358569926,0.9988956884083584
E1/A/LightGBM,roc,0.07488827549947424,0.9989052412767981
E1/A/LightGBM,roc,0.07574263932702419,0.9989052412767981
E1/A/LightGBM,roc,0.07616982124079916,0.998910972997862
E1/A/LightGBM,roc,0.07807570977917981,0.998910972997862
E1/A/LightGBM,roc,0.07886435331230283,0.998910972997862
E1/A/LightGBM,roc,0.0802773396424816,0.9989119282847061
E1/A/LightGBM,roc,0.08172318611987382,0.9989119282847061
E1/A/LightGBM,roc,0.08231466876971609,0.9989128835715501
E1/A/LightGBM,roc,0.08313617245005257,0.998914794145238
E1/A/LightGBM,roc,0.08353049421661408,0.998915749432082
E1/A/LightGBM,roc,0.0844177181913775,0.998915749432082
