t,cpu_percent,rss_gb,threads
1789978519.8320093,94.0,0.17373275756835938,46
1789978520.0898554,106.2,0.173736572265625,46
1789978520.346598,94.3,0.17369842529296875,46
1789978520.6026688,106.2,0.17372894287109375,46
1789978520.8586483,106.2,0.17374038696289062,46
1789978521.1151938,105.7,0.17374420166015625,46
1789978521.3715837,100.0,0.17367935180664062,46
1789978521.6275392,99.9,0.17373275756835938,46
1789978521.885055,106.2,0.17374420166015625,46
1789978522.1416068,106.2,0.17374420166015625,46
1789978522.3991096,100.2,0.17369842529296875,46
1789978522.6549034,112.5,0.1737518310546875,46
1789978522.9116557,94.0,0.17377471923828125,46
1789978523.1666265,100.0,0.17377471923828125,46
1789978523.4223425,106.2,0.17372894287109375,46
1789978523.7340286,100.2,0.17377471923828125,46
1789978524.036167,94.8,0.17378616333007812,46
1789978524.2916193,106.2,0.173675537109375,46
1789978524.547992,112.5,0.17374038696289062,46
1789978524.8075693,94.0,0.17377471923828125,46
1789978525.0636492,106.2,0.17379379272460938,46
1789978525.320417,94.3,0.17367935180664062,46
1789978525.5786593,125.0,0.17372512817382812,46
1789978525.838139,94.0,0.17375946044921875,46
1789978526.0952122,106.2,0.17380142211914062,46
1789978526.352286,100.2,0.17371749877929688,46
1789978526.6092134,106.2,0.173797607421875,46
1789978526.8658476,99.9,0.17380523681640625,46
1789978527.1228373,100.0,0.17380905151367188,46
1789978527.3798566,111.6,0.173736572265625,46
1789978527.636093,112.5,0.1737823486328125,46
1789978527.8919306,112.5,0.173797607421875,46
1789978528.1486685,100.2,0.17381668090820312,46
1789978528.4050148,112.5,0.17372512817382812,46
1789978528.6631436,94.0,0.17378616333007812,46
1789978528.9201455,106.2,0.17380523681640625,46
1789978529.1756036,94.0,0.17380905151367188,46
1789978529.434012,112.5,0.17380523681640625,46
1789978529.692018,94.3,0.17383193969726562,46
1789978529.9492457,93.8,0.17383575439453125,46
1789978530.2065642,99.9,0.17383575439453125,46
1789978530.4622471,100.0,0.17378997802734375,46
1789978530.7173843,106.2,0.17383956909179688,46
1789978530.973493,94.3,0.1738433837890625,46
1789978531.229354,106.2,0.1738433837890625,46
1789978531.485651,112.5,0.173797607421875,46
1789978531.7891953,74.9,0.17383193969726562,46
1789978532.0577636,105.7,0.17385101318359375,46
1789978532.314706,94.3,0.17385482788085938,46
1789978532.5710003,106.2,0.173858642578125,46
1789978532.8267722,112.5,0.17386627197265625,46
1789978533.0952353,105.7,0.17386627197265625,46
1789978533.35548,106.1,0.17375946044921875,46
1789978533.6118288,105.7,0.173797607421875,46
1789978533.8669896,106.2,0.17387008666992188,46
1789978534.124363,118.8,0.1738739013671875,46
1789978534.380204,105.7,0.17381668090820312,46
1789978534.637917,118.8,0.17388153076171875,46
1789978534.8943517,106.1,0.17390060424804688,46
1789978535.1499867,106.2,0.17390060424804688,46
1789978535.4061217,106.2,0.1738128662109375,46
1789978535.67346,99.9,0.17388153076171875,46
1789978535.9365988,111.6,0.1738739013671875,44
1789978536.1922288,94.3,0.1738739013671875,44
1789978536.4482708,93.8,0.17380523681640625,44
1789978536.7045658,106.2,0.17385101318359375,44
1789978536.9606516,105.7,0.17388153076171875,44
1789978537.2156086,106.2,0.17388534545898438,44
1789978537.4707253,88.4,0.173797607421875,44
1789978537.7258914,125.0,0.17387771606445312,44
1789978537.9817116,118.8,0.17389297485351562,44
1789978538.2376661,94.0,0.17390060424804688,44
1789978538.4974198,100.0,0.17383575439453125,44
1789978538.7601104,99.9,0.17387771606445312,44
1789978539.0165348,100.0,0.1739044189453125,44
1789978539.2752051,94.3,0.17390823364257812,44
1789978539.5311408,106.2,0.17380905151367188,44
1789978539.786649,99.9,0.17388916015625,44
1789978540.0445209,106.2,0.17391204833984375,44
1789978540.3017652,105.7,0.17391586303710938,44
1789978540.5574017,100.0,0.17386627197265625,44
1789978540.8128793,106.2,0.173919677734375,44
1789978541.0702064,94.3,0.17392730712890625,44
1789978541.3295214,106.2,0.17393112182617188,44
1789978541.5865207,94.0,0.17384719848632812,44
1789978541.8434446,118.8,0.173919677734375,44
1789978542.099652,88.4,0.1739349365234375,44
1789978542.3713686,99.9,0.17393875122070312,44
1789978542.6306422,99.9,0.17386627197265625,44
1789978542.8892305,112.5,0.17393112182617188,44
1789978543.1483681,94.3,0.1739501953125,44
